Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786023326392,964.3117523193359,300,2,0.28749999999999987,848.5856018066406,300,2,0.28749999999999987,1051.5162963867188,300,0,0.28749999999999987,1066.3057403564453,300,0,0.28749999999999987,8995.145629882813,2058,605,4744,2232,605,2058,605,2058,3.5714287757873535,3.7037036418914795,3.846153974533081,10.714285850524902,3.846153974533081,3.846153974533081,7.407407283782959,3.846153974533081,32353083392,8589930496,3204583424,0
200,1786023326392,964.3117523193359,300,2,0.28749999999999987,848.5856018066406,300,2,0.28749999999999987,1051.5162963867188,300,0,0.28749999999999987,1066.3057403564453,300,0,0.28749999999999987,8995.145629882813,2058,605,4744,2232,605,2058,605,2058,3.5714287757873535,3.7037036418914795,3.846153974533081,10.714285850524902,3.846153974533081,3.846153974533081,7.407407283782959,3.846153974533081,32353083392,8589930496,3204583424,0
200,1786023326592,964.3519287109375,300,0,0.28125,848.6024322509766,300,2,0.28125,1051.5978698730469,300,0,0.28125,1066.4911193847656,300,0,0.28125,8996.249298095703,2058,605,4744,2232,605,2058,605,2058,0,0,5,0,0,4.761904716491699,10,0,32353083392,8589930496,3204583424,0
200,1786023326792,964.5018768310547,28800,0,1.025,848.6152954101563,28800,0,1.025,1051.6495819091797,28800,0,1.025,1066.6690063476563,28800,0,1.025,8997.34880065918,2058,605,4744,2232,605,2058,605,2058,0,0,4.761904716491699,0,0,0,5,5,32353083392,8589930496,3204583424,0
199,1786023326993,964.5103759765625,28800,0,1.1625,848.6196136474609,300,0,1.1625,1051.6634216308594,300,0,1,1066.6919708251953,300,0,1,8998.189666748047,2058,605,4744,2232,605,2058,605,2058,4.761904716491699,0,0,5,0,0,9.523809432983398,0,32353083392,8589930496,3204583424,0
200,1786023327193,964.5113830566406,28800,0,0.975,848.6204833984375,28800,0,0.975,1051.6686401367188,28800,0,0.975,1066.6937103271484,28800,0,0.975,8998.870193481445,2058,605,4744,2232,605,2058,605,2058,0,0,0,0,0,0,0,0,32353083392,8589930496,3204583424,0
200,1786023327393,964.5126800537109,28800,0,1.48125,848.62548828125,28800,0,1.48125,1051.6708068847656,28800,0,1.48125,1066.6983795166016,28800,0,1.48125,8999.462219238281,2058,605,4744,2232,605,2058,605,2058,0,4.761904716491699,0,0,4.761904716491699,0,0,0,32353083392,8589930496,3204583424,0
200,1786023327594,964.5132751464844,28800,0,1.19375,848.6260833740234,300,0,1.19375,1051.6738891601563,300,0,1.24375,1066.705551147461,300,0,1.19375,9000.04281616211,2058,605,4744,2232,605,2058,605,2058,4.761904716491699,0,0,5,0,0,0,0,32353083392,8589930496,3204583424,0
199,1786023327794,964.5140991210938,28800,0,1.48125,848.6265716552734,28800,0,1.48125,1051.6824645996094,28800,0,1.48125,1066.7066497802734,28800,0,1.48125,9000.559448242188,2058,605,4744,2232,605,2058,605,2058,0,0,0,0,0,0,0,0,32353083392,8589930496,3204583424,0
199,1786023327994,964.5150756835938,28800,0,0.73125,848.6273345947266,28800,0,0.73125,1051.6873168945313,28800,0,0.73125,1066.70849609375,28800,0,0.73125,9001.117416381836,2058,605,4744,2232,605,2058,605,2058,0,0,0,4.761904716491699,0,0,0,0,32353083392,8589930496,3204583424,0
199,1786023328194,964.518798828125,300,2,0.29374999999999996,848.63134765625,300,2,0.29374999999999996,1051.7018737792969,300,2,0.29374999999999996,1066.763198852539,300,0,0.29374999999999996,9001.807434082031,2058,605,4744,2232,605,2058,605,2058,0,0,0,0,0,0,0,0,32353083392,8589930496,3204583424,0
199,1786023328394,964.5309143066406,300,2,0.29374999999999996,848.6438446044922,300,2,0.29374999999999996,1051.7332153320313,300,2,0.29374999999999996,1066.9459381103516,300,0,0.29374999999999996,9002.861694335938,2058,605,4744,2232,605,2058,605,2058,0,0,0,0,0,0,0,0,32353083392,8589930496,3204583424,0
200,1786023328594,964.5428771972656,300,2,0.28125,848.6903686523438,300,0,0.28125,1051.8134002685547,300,0,0.28125,1067.133804321289,300,0,0.28125,9003.965850830078,2058,605,4744,2232,605,2058,605,2058,2.5,0,2.5,2.5,0,2.5,9.756096839904785,0,32353083392,8589930496,3204583424,0
199,1786023328795,964.553955078125,28800,0,0.96875,848.8205718994141,300,0,0.96875,1051.8767547607422,300,0,0.975,1067.2887420654297,300,2,0.975,9005.036636352539,2058,605,4744,2232,605,2058,605,2058,0,0,4.761904716491699,0,0,0,5.263157844543457,0,32353083392,8589930496,3204583424,0
200,1786023328995,964.5576629638672,28800,0,0.99375,848.8243865966797,28800,0,0.99375,1051.90087890625,28800,0,0.99375,1067.293716430664,28800,0,0.99375,9005.825637817383,2058,605,4744,2232,605,2058,605,2058,0,0,0,5,0,0,0,0,32353083392,8589930496,3204583424,0
199,1786023329195,964.5590209960938,28800,0,1.475,848.8259887695313,28800,0,1.475,1051.9171142578125,28800,0,1.475,1067.2968444824219,28800,0,1.475,9006.489059448242,2058,605,4744,2232,605,2058,605,2058,0,0,0,0,0,0,0,0,32353083392,8589930496,3204583424,0
200,1786023329396,964.5592346191406,28800,0,1.46875,848.8261566162109,28800,0,1.46875,1051.9195404052734,28800,0,1.46875,1067.2971649169922,28800,0,1.46875,9007.028274536133,2058,605,4744,2232,605,2058,605,2058,0,0,5,0,0,0,0,0,32353083392,8589930496,3204583424,0
199,1786023329596,964.5598907470703,28800,0,1.25625,848.8267669677734,28800,0,1.25625,1051.9294891357422,28800,0,1.25625,1067.2992553710938,28800,0,1.25625,9007.647171020508,2058,605,4744,2232,605,2058,605,2058,0,0,0,0,0,0,0,0,32353083392,8589930496,3204583424,0
200,1786023329796,964.5649871826172,300,2,1.36875,848.8277587890625,300,2,1.36875,1051.9336547851563,300,2,1.36875,1067.3018188476563,300,0,1.36875,9008.231491088867,2058,605,4744,2232,605,2058,605,2058,0,0,0,5,5,0,4.761904716491699,4.761904716491699,32353083392,8589930496,3204583424,0
199,1786023329996,964.5650939941406,28800,0,1.0875,848.8278350830078,28800,0,1.0875,1051.9338989257813,28800,0,1.0875,1067.3019256591797,28800,0,1.0875,9008.741897583008,2058,605,4744,2232,605,2058,605,2058,0,0,4.761904716491699,0,0,0,0,0,32353083392,8589930496,3204583424,0
200,1786023330196,964.5652618408203,28800,0,0.975,848.8280181884766,28800,0,0.975,1051.9355010986328,28800,0,0.975,1067.3021697998047,28800,0,0.975,9009.306747436523,2058,605,4744,2232,605,2058,605,2058,0,0,0,0,0,0,0,0,32353083392,8589930496,3204583424,0
200,1786023330397,964.5658264160156,28800,0,1.48125,848.8292236328125,300,0,1.48125,1051.9393615722656,300,0,1.40625,1067.3036499023438,300,2,1.40625,9009.889389038086,2058,605,4744,2232,605,2058,605,2058,0,0,4.761904716491699,0,0,0,0,0,32353083392,8589930496,3204583424,0
