Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786023064668,726.4859313964844,300,2,1.41875,607.2758483886719,300,0,0.75,786.4355010986328,300,0,0.75,799.3838500976563,300,0,0.75,7104.393295288086,605,1777,5152,3077,605,605,605,605,0,7.142857551574707,10.714285850524902,7.142857551574707,3.7037036418914795,3.5714287757873535,3.5714287757873535,0,32353083392,8589930496,3209445376,0
199,1786023064668,726.4890441894531,300,0,0.28125,607.2760314941406,300,2,0.28125,786.4379730224609,300,0,0.28125,799.3840026855469,300,2,0.28125,7104.397918701172,605,1777,5152,3077,605,605,605,605,0,7.142857551574707,10.714285850524902,7.142857551574707,3.7037036418914795,3.5714287757873535,3.5714287757873535,0,32353083392,8589930496,3209445376,0
199,1786023064868,727.1026458740234,300,0,0.2749999999999999,607.8772430419922,300,0,0.2749999999999999,787.0883636474609,300,0,0.2749999999999999,800.0481872558594,300,0,0.2749999999999999,7107.837860107422,605,1777,5152,3077,605,605,605,605,19.047618865966797,15.000000953674316,20,21.052631378173828,15.789472579956055,20,19.047618865966797,20,32353083392,8589930496,3212726272,0
199,1786023065068,727.6528015136719,3266.6666666666665,0,0.34999999999999987,608.3858795166016,3266.6666666666665,0,0.34999999999999987,787.7430572509766,3266.6666666666665,0,0.34999999999999987,800.6390686035156,3266.6666666666665,0,0.34999999999999987,7111.027801513672,605,1777,5152,3077,605,605,605,605,15.789472579956055,15.789472579956055,20,20,15.000000953674316,11.111111640930176,21.052631378173828,20,32353083392,8589930496,3220881408,0
199,1786023065268,728.201416015625,300,0,0.26875000000000004,608.9441986083984,300,0,0.26875000000000004,788.3161163330078,300,0,0.26875000000000004,801.2857513427734,300,0,0.26875000000000004,7114.304611206055,605,1777,5152,3077,605,605,605,605,15.789472579956055,15.789472579956055,20,20,15.000000953674316,11.111111640930176,21.052631378173828,20,32353083392,8589930496,3239931904,0
200,1786023065468,728.7799072265625,300,0,0.2749999999999999,609.566650390625,300,0,0.2749999999999999,788.9420166015625,300,0,0.2749999999999999,801.9039154052734,300,0,0.2749999999999999,7117.670120239258,605,1777,5152,3077,605,605,605,605,15.384615898132324,17.5,17.5,13.1578950881958,17.948719024658203,21.428571701049805,17.948719024658203,20,32353083392,8589930496,3257155584,0
199,1786023065669,729.3906707763672,25400,0,0.54375,610.1227722167969,25400,0,0.54375,789.6122436523438,25400,0,0.54375,802.5561065673828,25400,0,0.54375,7121.081146240234,605,1777,5152,3077,605,605,605,605,23.809524536132813,15.789472579956055,21.052631378173828,19.047618865966797,19.047618865966797,11.111111640930176,15.789472579956055,26.3157901763916,32353083392,8589930496,3269054464,0
199,1786023065869,729.919677734375,300,0,0.2749999999999999,610.6797485351563,300,0,0.2749999999999999,790.3265533447266,300,0,0.2749999999999999,803.3616333007813,300,0,0.2749999999999999,7124.633834838867,605,1777,5152,3077,605,605,605,605,23.809524536132813,15.789472579956055,21.052631378173828,19.047618865966797,19.047618865966797,11.111111640930176,15.789472579956055,26.3157901763916,32353083392,8589930496,3273244672,0
199,1786023066069,730.58203125,300,0,0.26249999999999996,611.2665710449219,300,0,0.26249999999999996,790.9025268554688,300,0,0.26249999999999996,804.1029510498047,300,0,0.26249999999999996,7128.092956542969,605,1777,5152,3077,605,605,605,605,15.384615898132324,20,23.076923370361328,20.512821197509766,18.91891860961914,17.073171615600586,17.5,31.707317352294922,32353083392,8589930496,3295645696,0
199,1786023066269,731.1535949707031,300,0,0.2749999999999999,611.8385467529297,300,0,0.2749999999999999,791.4626922607422,300,0,0.2749999999999999,804.9017944335938,300,0,0.2749999999999999,7131.552749633789,605,1777,5152,3077,605,605,605,605,11.111111640930176,11.111111640930176,19.047618865966797,27.77777862548828,15.000000953674316,15.789472579956055,21.052631378173828,25,32353083392,8589930496,3274076160,0
