Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786023776589,1288.3736572265625,300,2,0.6875,1176.5731353759766,300,0,0.6875,1419.2881927490234,300,0,0.6875,1432.1661682128906,300,0,0.6875,11845.328811645508,5150,5150,1880,2009,5150,5150,5150,5150,3.4482758045196533,6.896551609039307,9.67741870880127,3.4482758045196533,3.4482758045196533,3.5714287757873535,6.6666669845581055,3.4482758045196533,32353083392,8589930496,3187572736,0
200,1786023776589,1288.3736572265625,300,2,0.6875,1176.5731353759766,300,0,0.6875,1419.2881927490234,300,0,0.6875,1432.1661682128906,300,0,0.6875,11845.328811645508,5150,5150,1880,2009,5150,5150,5150,5150,3.4482758045196533,6.896551609039307,9.67741870880127,3.4482758045196533,3.4482758045196533,3.5714287757873535,6.6666669845581055,3.4482758045196533,32353083392,8589930496,3187572736,0
200,1786023776789,1288.9230041503906,300,0,0.26875000000000004,1177.1019134521484,300,0,0.26875000000000004,1419.8251037597656,300,0,0.26875000000000004,1432.8899688720703,300,0,0.26875000000000004,11848.611618041992,5150,5150,1880,2009,5150,5150,5150,5150,15.789472579956055,14.285715103149414,11.111111640930176,30.000001907348633,10.526315689086914,10,15.000000953674316,15.000000953674316,32353083392,8589930496,3191877632,0
200,1786023776989,1289.3702087402344,300,0,0.2749999999999999,1177.6013793945313,300,2,0.2749999999999999,1420.3264465332031,300,0,0.2749999999999999,1433.5417785644531,300,0,0.2749999999999999,11851.71257019043,5150,5150,1880,2009,5150,5150,5150,5150,10,10,13.636363983154297,25,10,15.000000953674316,5.263157844543457,5.263157844543457,32353083392,8589930496,3202572288,0
199,1786023777189,1289.8748168945313,300,0,0.26875000000000004,1178.1045837402344,300,0,0.26875000000000004,1420.9669189453125,300,0,0.26875000000000004,1434.1636352539063,300,0,0.26875000000000004,11854.992050170898,5150,5150,1880,2009,5150,5150,5150,5150,9.523809432983398,5.263157844543457,10.526315689086914,11.111111640930176,10.526315689086914,10.526315689086914,25,15.000000953674316,32353083392,8589930496,3211890688,0
199,1786023777389,1290.347915649414,300,0,0.26875000000000004,1178.595474243164,300,0,0.26875000000000004,1421.5926666259766,300,0,0.26875000000000004,1434.7804870605469,300,0,0.26875000000000004,11858.232620239258,5150,5150,1880,2009,5150,5150,5150,5150,10.526315689086914,10,21.052631378173828,21.052631378173828,10.526315689086914,15.000000953674316,5.263157844543457,10,32353083392,8589930496,3221708800,0
200,1786023777590,1290.8866424560547,300,0,0.26249999999999996,1179.1012573242188,300,0,0.26249999999999996,1422.1932525634766,300,0,0.26249999999999996,1435.4094696044922,300,0,0.26249999999999996,11861.511627197266,5150,5150,1880,2009,5150,5150,5150,5150,5.263157844543457,10,10.526315689086914,15.789472579956055,14.285715103149414,10.526315689086914,15.789472579956055,10.526315689086914,32353083392,8589930496,3232747520,0
200,1786023777790,1291.4869995117188,300,0,0.2749999999999999,1179.680404663086,300,0,0.2749999999999999,1422.8214874267578,300,0,0.2749999999999999,1436.0222930908203,300,0,0.2749999999999999,11864.931594848633,5150,5150,1880,2009,5150,5150,5150,5150,20,15.000000953674316,15.000000953674316,20,10.526315689086914,15.000000953674316,20,5.555555820465088,32353083392,8589930496,3235508224,0
199,1786023777990,1291.9674224853516,300,0,0.26249999999999996,1180.1687774658203,300,0,0.26249999999999996,1423.5052947998047,300,0,0.26249999999999996,1436.5418548583984,300,0,0.26249999999999996,11868.128051757813,5150,5150,1880,2009,5150,5150,5150,5150,10.526315689086914,5.263157844543457,10.526315689086914,10,5,10,20,14.285715103149414,32353083392,8589930496,3231236096,0
199,1786023778190,1292.4808502197266,300,0,0.26875000000000004,1180.6194610595703,300,0,0.26875000000000004,1424.0701446533203,300,0,0.26875000000000004,1437.1802520751953,300,0,0.26875000000000004,11871.323211669922,5150,5150,1880,2009,5150,5150,5150,5150,5,10,10.526315689086914,15.000000953674316,20,10.526315689086914,20,15.789472579956055,32353083392,8589930496,3234672640,0
200,1786023778390,1292.9823760986328,300,0,0.26875000000000004,1181.060287475586,300,0,0.26875000000000004,1424.6492614746094,300,0,0.26875000000000004,1437.7994232177734,300,0,0.26875000000000004,11874.507720947266,5150,5150,1880,2009,5150,5150,5150,5150,14.285715103149414,5.263157844543457,5.263157844543457,10.526315689086914,10,10,15.000000953674316,21.052631378173828,32353083392,8589930496,3241713664,0
199,1786023778590,1293.5308380126953,300,0,0.26249999999999996,1181.5838928222656,300,0,0.26249999999999996,1425.2923126220703,300,0,0.26249999999999996,1438.4985656738281,300,0,0.26249999999999996,11877.947662353516,5150,5150,1880,2009,5150,5150,5150,5150,10.526315689086914,10,10.526315689086914,10.526315689086914,11.111111640930176,5.263157844543457,21.052631378173828,21.052631378173828,32353083392,8589930496,3252563968,0
