Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786045516678,1274.1912384033203,300,2,1.15625,1032.9312591552734,300,2,1.15625,1795.8495330810547,300,0,1.15625,1818.3819580078125,300,0,0.71875,19678.771896362305,1910,605,5142,1958,1910,1910,1910,1910,3.7037036418914795,3.846153974533081,7.142857551574707,0,3.7037036418914795,7.407407283782959,0,3.7037036418914795,32353095680,8589930496,3714945024,0
200,1786045516678,1274.1912384033203,300,0,0.71875,1032.9312591552734,300,2,0.71875,1795.8495330810547,300,0,0.71875,1818.3819580078125,300,0,0.71875,19678.771896362305,1910,605,5142,1958,1910,1910,1910,1910,3.7037036418914795,3.846153974533081,7.142857551574707,0,3.7037036418914795,7.407407283782959,0,3.7037036418914795,32353095680,8589930496,3714945024,0
200,1786045516879,1274.2038116455078,28800,0,1.46875,1032.932388305664,300,0,1.46875,1795.8540802001953,300,0,1.4,1818.3835906982422,300,0,1.4,19679.3037109375,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,4.761904716491699,0,0,0,0,32353095680,8589930496,3714945024,0
200,1786045517079,1274.2045440673828,28800,0,1.2625,1032.9329986572266,28800,0,1.2625,1795.8588256835938,28800,0,1.2625,1818.3880157470703,28800,0,1.2625,19679.87562561035,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,4.761904716491699,0,0,0,0,32353095680,8589930496,3714945024,0
200,1786045517280,1274.2047729492188,28800,0,1.48125,1032.9333190917969,300,0,1.48125,1795.8619842529297,300,0,1.38125,1818.3882293701172,300,2,1.38125,19680.377502441406,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045517480,1274.2050170898438,28800,0,1.48125,1032.9335632324219,28800,0,1.48125,1795.8656311035156,28800,0,1.48125,1818.3886108398438,28800,0,1.48125,19680.888473510742,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045517681,1274.208236694336,28800,0,1.475,1032.9340057373047,28800,0,1.475,1795.868667602539,28800,0,1.475,1818.390853881836,28800,0,1.475,19681.433227539063,1910,605,5142,1958,1910,1910,1910,1910,0,0,4.761904716491699,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045517881,1274.2083892822266,28800,0,1.48125,1032.9341430664063,300,0,1.48125,1795.8717803955078,300,0,1.4375,1818.3910217285156,300,2,1.4375,19681.937271118164,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045518082,1274.2085266113281,28800,0,1.39375,1032.9342803955078,28800,0,1.39375,1795.8755645751953,28800,0,1.39375,1818.3912048339844,28800,0,1.26875,19682.44285583496,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045518282,1274.2093963623047,28800,0,1.4125,1032.9346923828125,300,0,1.4125,1795.8778839111328,300,2,1.39375,1818.3964233398438,300,0,1.39375,19682.980590820313,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045518483,1274.2095642089844,28800,0,1.475,1032.9348449707031,28800,0,1.475,1795.8780517578125,28800,0,1.475,1818.4005126953125,28800,0,1.475,19683.469665527344,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045518683,1274.2102813720703,28800,0,1.48125,1032.9354858398438,300,0,1.48125,1795.8784637451172,300,0,1.48125,1818.4039154052734,300,0,1.05625,19684.07958984375,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045518884,1274.2113800048828,28800,0,1.475,1032.9359741210938,28800,0,1.475,1795.879623413086,28800,0,1.475,1818.413803100586,28800,0,1.475,19684.643615722656,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045519084,1274.2115631103516,28800,0,1.44375,1032.9361267089844,300,0,1.44375,1795.8798370361328,300,2,1.4125,1818.4172058105469,300,0,1.4125,19685.143753051758,1910,605,5142,1958,1910,1910,1910,1910,0,0,0,0,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045519285,1274.2117462158203,28800,0,1.4375,1032.9363250732422,28800,0,1.4375,1795.8800506591797,28800,0,1.4375,1818.4214477539063,28800,0,1.4375,19685.648849487305,1910,605,5142,1958,1910,1910,1910,1910,0,4.761904716491699,0,4.761904716491699,0,0,0,0,32353095680,8589930496,3715575808,0
200,1786045519485,1274.2135162353516,300,0,1.48125,1032.9373168945313,300,0,1.41875,1795.8818664550781,300,2,1.41875,1818.4279327392578,300,0,1.41875,19686.20213317871,1910,605,5142,1958,1910,1910,1910,1910,0,0,5,0,0,0,0,0,32353095680,8589930496,3715575808,0
