Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786045033529,764.6356658935547,300,0,0.7,514.5952453613281,300,2,0.7,1173.9081420898438,300,0,0.7,1190.2429809570313,300,2,0.7,15766.045211791992,5152,2852,5152,5152,5152,5152,5152,5152,9.375,3.3333334922790527,6.896551609039307,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,10.344827651977539,32353095680,8589930496,3670065152,0
199,1786045033529,764.6356658935547,300,0,0.7,514.5952453613281,300,2,0.7,1173.9081420898438,300,0,0.7,1190.2429809570313,300,2,0.7,15766.045211791992,5152,2852,5152,5152,5152,5152,5152,5152,9.375,3.3333334922790527,6.896551609039307,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,10.344827651977539,32353095680,8589930496,3670065152,0
199,1786045033729,765.1632385253906,300,0,0.26249999999999996,515.1576843261719,300,0,0.26249999999999996,1174.6104125976563,300,0,0.26249999999999996,1190.7719268798828,300,0,0.26249999999999996,15769.309509277344,5152,2852,5152,5152,5152,5152,5152,5152,15.789472579956055,15.000000953674316,15.789472579956055,15.789472579956055,13.636363983154297,19.047618865966797,15.000000953674316,10.526315689086914,32353095680,8589930496,3698098176,0
200,1786045033929,765.6459350585938,300,0,0.2749999999999999,515.6266784667969,300,0,0.2749999999999999,1175.1974182128906,300,0,0.2749999999999999,1191.3222198486328,300,0,0.2749999999999999,15772.37287902832,5152,2852,5152,5152,5152,5152,5152,5152,9.523809432983398,5.263157844543457,15.789472579956055,10,10.526315689086914,11.111111640930176,5.263157844543457,14.285715103149414,32353095680,8589930496,3710001152,0
200,1786045034129,766.0941162109375,300,0,0.2749999999999999,516.2031860351563,300,0,0.2749999999999999,1175.8523864746094,300,0,0.2749999999999999,1191.8899230957031,300,0,0.2749999999999999,15775.630737304688,5152,2852,5152,5152,5152,5152,5152,5152,5.555555820465088,10,20,10.526315689086914,10,15.000000953674316,10,10.526315689086914,32353095680,8589930496,3723419648,0
200,1786045034329,766.6286315917969,300,0,0.2749999999999999,516.6842498779297,300,0,0.2749999999999999,1176.523208618164,300,0,0.2749999999999999,1192.4530181884766,300,0,0.2749999999999999,15778.90657043457,5152,2852,5152,5152,5152,5152,5152,5152,20,11.111111640930176,10.526315689086914,15.000000953674316,10.526315689086914,5.263157844543457,20,10,32353095680,8589930496,3737059328,0
200,1786045034529,767.0929565429688,300,0,0.2749999999999999,517.1304473876953,300,0,0.2749999999999999,1177.1428985595703,300,0,0.2749999999999999,1193.0711975097656,300,0,0.2749999999999999,15782.068893432617,5152,2852,5152,5152,5152,5152,5152,5152,10,14.285715103149414,10.526315689086914,15.789472579956055,9.523809432983398,5,15.789472579956055,14.285715103149414,32353095680,8589930496,3744104448,0
200,1786045034729,767.6046295166016,300,0,0.26875000000000004,517.6222686767578,300,0,0.26875000000000004,1178.0193939208984,300,0,0.26875000000000004,1193.6580352783203,300,0,0.26875000000000004,15785.523071289063,5152,2852,5152,5152,5152,5152,5152,5152,10.526315689086914,5.263157844543457,21.052631378173828,14.285715103149414,10.526315689086914,10.526315689086914,21.052631378173828,11.111111640930176,32353095680,8589930496,3760787456,0
199,1786045034929,768.0951690673828,300,0,0.26249999999999996,518.0885467529297,300,0,0.26249999999999996,1178.6185760498047,300,0,0.26249999999999996,1194.375244140625,300,0,0.26249999999999996,15788.856185913086,5152,2852,5152,5152,5152,5152,5152,5152,10,10,10,21.052631378173828,10,15.000000953674316,15.000000953674316,10,32353095680,8589930496,3756142592,0
199,1786045035129,768.5740051269531,300,0,0.26875000000000004,518.5522766113281,300,0,0.26875000000000004,1179.123046875,300,0,0.26875000000000004,1195.0402221679688,300,0,0.26875000000000004,15791.977569580078,5152,2852,5152,5152,5152,5152,5152,5152,5.555555820465088,10,15.000000953674316,26.3157901763916,10.526315689086914,15.000000953674316,5.263157844543457,5.263157844543457,32353095680,8589930496,3756367872,0
