Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786045740028,1441.6431427001953,300,0,0.9812500000000001,1206.1666259765625,300,2,0.9812500000000001,2008.2630767822266,300,0,0.9812500000000001,2027.4462432861328,300,2,0.9812500000000001,21185.917022705078,1760,2003,2698,4983,1760,1760,1760,1760,0,3.846153974533081,7.407407283782959,3.846153974533081,3.846153974533081,3.846153974533081,3.7037036418914795,3.7037036418914795,32353095680,8589930496,3704377344,0
200,1786045740028,1441.6432342529297,300,0,0.9812500000000001,1206.1666717529297,300,2,0.9812500000000001,2008.2640533447266,300,0,0.9812500000000001,2027.4463500976563,300,2,0.9812500000000001,21185.92057800293,1760,2003,2698,4983,1760,1760,1760,1760,0,3.846153974533081,7.407407283782959,3.846153974533081,3.846153974533081,3.846153974533081,3.7037036418914795,3.7037036418914795,32353095680,8589930496,3704377344,0
199,1786045740228,1442.4244689941406,300,0,0.26249999999999996,1206.7908935546875,300,0,0.26249999999999996,2008.9027404785156,300,0,0.26249999999999996,2028.1483001708984,300,0,0.26249999999999996,21189.514877319336,1760,2003,2698,4983,1760,1760,1760,1760,28.571430206298828,25,30.000001907348633,31.57894515991211,30.000001907348633,30.000001907348633,22.22222328186035,21.052631378173828,32353095680,8589930496,3712987136,0
200,1786045740428,1443.0390625,300,0,0.26875000000000004,1207.3842163085938,300,0,0.26875000000000004,2009.4880828857422,300,0,0.26875000000000004,2028.9061737060547,300,0,0.26875000000000004,21192.980514526367,1760,2003,2698,4983,1760,1760,1760,1760,30.000001907348633,30.000001907348633,26.3157901763916,30.000001907348633,30.000001907348633,25,15.000000953674316,23.809524536132813,32353095680,8589930496,3719524352,0
199,1786045740629,1443.66845703125,7933.333333333333,0,0.63125,1208.0924530029297,7933.333333333333,0,0.63125,2010.2286529541016,7933.333333333333,0,0.63125,2029.6139526367188,7933.333333333333,0,0.63125,21196.569076538086,1760,2003,2698,4983,1760,1760,1760,1760,30.000001907348633,40,40,35,35,35,26.3157901763916,42.105262756347656,32353095680,8589930496,3750453248,0
199,1786045740829,1444.3232116699219,300,0,0.25,1208.6401977539063,300,0,0.25,2010.8907012939453,300,0,0.25,2030.3375549316406,300,0,0.25,21200.022064208984,1760,2003,2698,4983,1760,1760,1760,1760,36.842105865478516,20,26.3157901763916,26.3157901763916,25,21.052631378173828,28.571430206298828,21.052631378173828,32353095680,8589930496,3759005696,0
199,1786045741029,1444.9415435791016,20600,0,0.75,1209.3897857666016,20600,0,0.75,2011.6805877685547,20600,0,0.75,2031.0308532714844,20600,0,0.75,21203.76661682129,1760,2003,2698,4983,1760,1760,1760,1760,30.000001907348633,31.57894515991211,40,35,26.3157901763916,35,30.000001907348633,28.571430206298828,32353095680,8589930496,3776307200,0
199,1786045741229,1445.6048583984375,16600,0,0.35624999999999996,1210.0910186767578,16600,2,0.35624999999999996,2012.3437805175781,16600,0,0.35624999999999996,2031.817611694336,16600,2,0.35624999999999996,21207.42933654785,1760,2003,2698,4983,1760,1760,1760,1760,26.3157901763916,25,35,35,30.000001907348633,36.842105865478516,30.000001907348633,42.105262756347656,32353095680,8589930496,3769360384,0
200,1786045741429,1446.335952758789,16533.333333333336,0,0.2437499999999999,1210.6432037353516,16533.333333333336,0,0.2437499999999999,2013.0368041992188,16533.333333333336,0,0.2437499999999999,2032.4756317138672,16533.333333333336,0,0.2437499999999999,21210.96891784668,1760,2003,2698,4983,1760,1760,1760,1760,26.3157901763916,25,35,35,30.000001907348633,36.842105865478516,30.000001907348633,42.105262756347656,32353095680,8589930496,3770740736,0
199,1786045741629,1446.9320526123047,11666.666666666668,0,0.26875000000000004,1211.3084564208984,11666.666666666668,0,0.26875000000000004,2013.7272491455078,5933.333333333334,0,0.29374999999999996,2033.1570739746094,5933.333333333334,0,0.29374999999999996,21214.498657226563,1760,2003,2698,4983,1760,1760,1760,1760,30.000001907348633,26.3157901763916,28.947368621826172,26.3157901763916,30.000001907348633,24.390243530273438,25,25.641027450561523,32353095680,8589930496,3781890048,0
