Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786055986847,185.33763122558594,300,2,0.71875,62.57246398925781,300,2,0.71875,145.99502563476563,300,0,0.71875,152.343017578125,300,0,0.71875,1439.5947570800781,5118,4888,4908,4921,5118,5118,5118,5118,3.3333334922790527,0,9.67741870880127,3.4482758045196533,0,3.5714287757873535,3.4482758045196533,6.6666669845581055,32353095680,8589930496,2466349056,0
200,1786055986847,185.33763122558594,300,2,0.71875,62.57246398925781,300,2,0.71875,145.99502563476563,300,0,0.71875,152.343017578125,300,0,0.71875,1439.5947570800781,5118,4888,4908,4921,5118,5118,5118,5118,3.3333334922790527,0,9.67741870880127,3.4482758045196533,0,3.5714287757873535,3.4482758045196533,6.6666669845581055,32353095680,8589930496,2466349056,0
200,1786055987047,185.3404998779297,28800,0,1.475,62.57350158691406,28800,0,1.475,146.0066375732422,28800,0,1.475,152.3480987548828,28800,0,1.475,1440.1327209472656,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466648064,0
200,1786055987248,185.3416748046875,28800,0,1.46875,62.57450866699219,300,0,1.46875,146.01025390625,300,0,1.4125,152.3511962890625,300,2,1.4125,1440.7119903564453,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
199,1786055987448,185.3426055908203,28800,0,1.475,62.57476806640625,28800,0,1.475,146.01394653320313,28800,0,1.475,152.3514862060547,28800,0,1.475,1441.2225341796875,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055987648,185.3428192138672,28800,0,0.975,62.5751953125,28800,0,0.975,146.01742553710938,28800,0,0.975,152.3521270751953,28800,0,0.975,1441.8663787841797,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055987849,185.34437561035156,28800,0,1.18125,62.57606506347656,28800,0,1.18125,146.02334594726563,28800,0,1.18125,152.35963439941406,28800,0,1.18125,1442.4783782958984,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
199,1786055988049,185.34449768066406,28800,0,1.48125,62.57618713378906,28800,0,1.48125,146.02511596679688,28800,0,1.48125,152.3599090576172,28800,0,1.48125,1442.9715728759766,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055988249,185.3446502685547,300,2,1.4312500000000001,62.57637023925781,300,2,1.4312500000000001,146.0298614501953,300,0,1.4312500000000001,152.36012268066406,300,2,1.4312500000000001,1443.455322265625,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055988450,185.34539794921875,28800,0,1.4312500000000001,62.58000183105469,300,0,1.4312500000000001,146.04025268554688,300,0,1.30625,152.36337280273438,300,2,1.30625,1444.0164794921875,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
199,1786055988650,185.3456573486328,28800,0,1.45625,62.58039855957031,28800,0,1.45625,146.0437774658203,28800,0,1.45625,152.36386108398438,28800,0,1.45625,1444.6344604492188,5118,4888,4908,4921,5118,5118,5118,5118,0,4.761904716491699,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055988850,185.3457794189453,300,2,1.31875,62.580535888671875,300,2,1.31875,146.04566955566406,300,0,1.31875,152.3640594482422,300,2,1.31875,1445.1484985351563,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
199,1786055989051,185.34671020507813,28800,0,1.48125,62.5810546875,28800,0,1.48125,146.04945373535156,300,0,1.38125,152.36846923828125,300,0,1.48125,1445.6908264160156,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
199,1786055989251,185.34703063964844,28800,0,0.975,62.58172607421875,28800,0,0.975,146.05276489257813,28800,0,0.975,152.36912536621094,28800,0,0.975,1446.2195587158203,5118,4888,4908,4921,5118,5118,5118,5118,0,0,4.761904716491699,0,0,0,0,0,32353095680,8589930496,2466156544,0
199,1786055989451,185.3472137451172,300,2,1.125,62.58186340332031,300,2,1.125,146.05450439453125,300,0,1.125,152.36936950683594,300,2,1.125,1446.7359466552734,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055989651,185.3486785888672,28800,0,1.48125,62.582611083984375,28800,0,1.48125,146.05857849121094,28800,0,1.48125,152.374267578125,28800,0,1.48125,1447.2994384765625,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
199,1786055989852,185.34893798828125,28800,0,1.475,62.58282470703125,28800,0,1.475,146.0614013671875,300,0,1.3875,152.37466430664063,300,0,1.475,1447.8134002685547,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055990052,185.34933471679688,300,2,1.01875,62.58345031738281,300,2,1.01875,146.06484985351563,300,0,1.01875,152.375,300,2,1.01875,1448.3392639160156,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2466156544,0
200,1786055990252,185.35108947753906,28800,0,1.46875,62.5865478515625,28800,0,1.46875,146.0690155029297,28800,0,1.46875,152.37982177734375,28800,0,1.46875,1448.9286193847656,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,4.761904716491699,0,0,0,0,32353095680,8589930496,2464862208,0
199,1786055990453,185.3513641357422,28800,0,1.475,62.59001159667969,28800,0,1.475,146.0692901611328,28800,0,1.475,152.38003540039063,28800,0,1.475,1449.4442291259766,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464862208,0
200,1786055990653,185.3515167236328,300,2,0.96875,62.59321594238281,300,0,0.96875,146.0694580078125,300,0,0.96875,152.3802032470703,300,2,0.96875,1449.9195404052734,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464862208,0
200,1786055990853,185.35205078125,28800,0,1.48125,62.59346008300781,28800,0,1.48125,146.07144165039063,28800,0,1.48125,152.38351440429688,28800,0,1.48125,1450.4410858154297,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464862208,0
200,1786055991054,185.3521728515625,28800,0,1.48125,62.59356689453125,28800,0,1.48125,146.07154846191406,28800,0,1.48125,152.3853759765625,28800,0,1.48125,1450.9309997558594,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464862208,0
200,1786055991254,185.35240173339844,28800,0,1.475,62.59376525878906,300,0,1.475,146.07174682617188,300,0,1.475,152.3886260986328,300,0,1.4125,1451.45458984375,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
199,1786055991455,185.353271484375,28800,0,1.48125,62.59465026855469,28800,0,1.48125,146.07557678222656,28800,0,1.48125,152.3950958251953,28800,0,1.48125,1451.9922332763672,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
200,1786055991655,185.3535614013672,28800,0,0.975,62.59510803222656,300,0,0.975,146.07582092285156,300,0,0.975,152.39889526367188,300,0,0.975,1452.5760803222656,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
200,1786055991855,185.35374450683594,28800,0,1.46875,62.59529113769531,28800,0,1.46875,146.07601928710938,28800,0,1.46875,152.40219116210938,28800,0,1.46875,1453.0797576904297,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
200,1786055992056,185.35525512695313,28800,0,1.48125,62.59620666503906,28800,0,1.48125,146.0771484375,28800,0,1.48125,152.4079132080078,28800,0,1.48125,1453.6279602050781,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
199,1786055992256,185.35549926757813,28800,0,1.475,62.59645080566406,300,0,1.475,146.07740783691406,300,2,1.425,152.4113006591797,300,0,1.425,1454.1463012695313,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
199,1786055992456,185.35574340820313,28800,0,1.48125,62.596649169921875,28800,0,1.48125,146.07833862304688,28800,0,1.48125,152.4147186279297,28800,0,1.48125,1454.6654815673828,5118,4888,4908,4921,5118,5118,5118,5118,0,0,4.761904716491699,0,0,0,0,0,32353095680,8589930496,2464555008,0
200,1786055992656,185.35655212402344,28800,0,0.975,62.59733581542969,28800,0,0.975,146.0797119140625,28800,0,0.975,152.4246063232422,28800,0,0.975,1455.273910522461,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
200,1786055992857,185.3567657470703,28800,0,1.475,62.597564697265625,28800,0,1.475,146.0799560546875,300,0,1.475,152.42758178710938,300,0,1.35625,1455.765884399414,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
200,1786055993057,185.35691833496094,28800,0,1.48125,62.59770202636719,28800,0,1.48125,146.08009338378906,28800,0,1.48125,152.4308319091797,28800,0,1.48125,1456.2424621582031,5118,4888,4908,4921,5118,5118,5118,5118,0,0,0,0,0,0,0,0,32353095680,8589930496,2464555008,0
