Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786056648770,338.94354248046875,300,0,0.71875,223.94520568847656,300,2,0.71875,1398.7462921142578,300,2,0.71875,1439.7883758544922,300,2,0.71875,6495.631622314453,5151,1716,5151,1879,5151,5151,5151,5151,0,4,3.7037036418914795,3.7037036418914795,7.142857551574707,7.142857551574707,0,3.7037036418914795,32353095680,8589930496,2445254656,0
200,1786056648770,338.94615173339844,300,0,0.71875,223.9456024169922,300,2,0.71875,1398.746337890625,300,2,0.71875,1439.788589477539,300,2,0.71875,6495.636734008789,5151,1716,5151,1879,5151,5151,5151,5151,0,4,3.7037036418914795,3.7037036418914795,7.142857551574707,7.142857551574707,0,3.7037036418914795,32353095680,8589930496,2445254656,0
199,1786056648970,339.09071350097656,300,2,0.26875000000000004,224.2548828125,300,2,0.26875000000000004,1399.5407104492188,300,0,0.26875000000000004,1440.9382629394531,300,2,0.26875000000000004,6498.989562988281,5151,1716,5151,1879,5151,5151,5151,5151,5,9.523809432983398,5.263157844543457,42.105262756347656,0,0,35,5,32353095680,8589930496,2560589824,0
199,1786056649170,339.1053161621094,300,2,0.2437499999999999,224.26597595214844,300,2,0.2437499999999999,1402.4293518066406,300,0,0.2437499999999999,1440.965347290039,300,2,0.2437499999999999,6503.061447143555,5151,1716,5151,1879,5151,5151,5151,5151,4.761904716491699,0,4.761904716491699,0,0,0,100,0,32353095680,8589930496,2667933696,0
200,1786056649370,339.2340087890625,300,0,0.26875000000000004,224.3987579345703,300,0,0.26875000000000004,1404.7400360107422,300,0,0.26875000000000004,1441.1898498535156,300,0,0.26875000000000004,6506.770172119141,5151,1716,5151,1879,5151,5151,5151,5151,4.761904716491699,0,4.761904716491699,0,0,0,100,0,32353095680,8589930496,2633101312,0
199,1786056649570,339.4824981689453,16466.666666666664,2,0.28125,224.6800994873047,16466.666666666664,2,0.28125,1405.0474700927734,16466.666666666664,2,0.28125,1443.2738342285156,16466.666666666664,0,0.28125,6510.627883911133,5151,1716,5151,1879,5151,5151,5151,5151,0,2.5641026496887207,7.692307949066162,45,9.756096839904785,7.317072868347168,46.34146499633789,4.878048419952393,32353095680,8589930496,2763227136,0
199,1786056649771,339.49217224121094,150,2,0.25,224.70257568359375,150,2,0.25,1405.0702209472656,150,2,0.25,1446.0648498535156,150,0,0.25,6514.507797241211,5151,1716,5151,1879,5151,5151,5151,5151,0,0,0,100,0,0,0,0,32353095680,8589930496,2862198784,0
200,1786056649971,339.6946105957031,300,0,0.2749999999999999,224.91175842285156,300,0,0.2749999999999999,1405.2942962646484,300,0,0.2749999999999999,1448.1202545166016,300,0,0.2749999999999999,6518.1448974609375,5151,1716,5151,1879,5151,5151,5151,5151,0,0,0,100,0,0,0,0,32353095680,8589930496,2816684032,0
199,1786056650171,339.7422637939453,100,2,0.25624999999999987,225.15203857421875,100,2,0.25624999999999987,1406.5852966308594,100,2,0.25624999999999987,1449.2979431152344,100,0,0.25624999999999987,6521.913711547852,5151,1716,5151,1879,5151,5151,5151,5151,4.878048419952393,4.878048419952393,5,61.5384635925293,2.5641026496887207,7.142857551574707,28.947368621826172,9.756096839904785,32353095680,8589930496,2809638912,0
199,1786056650371,339.7519226074219,200,2,0.25624999999999987,225.16323852539063,200,2,0.25624999999999987,1406.5998229980469,200,2,0.25624999999999987,1452.0728607177734,200,0,0.25624999999999987,6525.787017822266,5151,1716,5151,1879,5151,5151,5151,5151,0,4.761904716491699,0,100,0,0,0,0,32353095680,8589930496,2809638912,0
199,1786056650571,340.029541015625,300,0,0.26875000000000004,225.4229736328125,300,2,0.26875000000000004,1408.4161682128906,300,0,0.26875000000000004,1452.3852081298828,300,0,0.26875000000000004,6529.413955688477,5151,1716,5151,1879,5151,5151,5151,5151,0,4.761904716491699,0,100,0,0,0,0,32353095680,8589930496,2640113664,0
199,1786056650771,340.04856872558594,16933.333333333336,2,0.26875000000000004,225.47866821289063,16933.333333333336,2,0.26875000000000004,1408.7021789550781,16933.333333333336,2,0.26875000000000004,1454.7066650390625,16933.333333333336,0,0.26875000000000004,6533.109924316406,5151,1716,5151,1879,5151,5151,5151,5151,5,2.6315789222717285,41.02564239501953,2.5641026496887207,7.317072868347168,5,5,50,32353095680,8589930496,2796920832,0
