Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786056848992,398.90472412109375,300,0,0.70625,283.09938049316406,300,0,0.70625,1827.0071258544922,300,2,0.70625,1947.1979675292969,300,0,0.70625,8240.73941040039,605,1716,605,4419,605,605,605,605,0,0,3.846153974533081,3.7037036418914795,3.7037036418914795,7.407407283782959,0,0,32353095680,8589930496,2445467648,0
200,1786056848992,398.90472412109375,300,0,0.70625,283.09938049316406,300,0,0.70625,1827.0071258544922,300,2,0.70625,1947.1979675292969,300,0,0.70625,8240.73941040039,605,1716,605,4419,605,605,605,605,0,0,3.846153974533081,3.7037036418914795,3.7037036418914795,7.407407283782959,0,0,32353095680,8589930496,2445467648,0
199,1786056849193,399.30401611328125,300,0,0.25,283.53704833984375,300,2,0.25,1828.4241638183594,300,0,0.25,1947.7345123291016,300,0,0.25,8244.361206054688,605,1716,605,4419,605,605,605,605,30.000001907348633,33.333335876464844,70,36.842105865478516,26.3157901763916,26.3157901763916,33.333335876464844,33.333335876464844,32353095680,8589930496,2550153216,0
199,1786056849393,399.3523864746094,100,0,0.25624999999999987,283.5494384765625,100,2,0.25624999999999987,1831.167221069336,100,0,0.25624999999999987,1947.8410949707031,100,2,0.25624999999999987,8248.345840454102,605,1716,605,4419,605,605,605,605,0,0,26.3157901763916,0,4.761904716491699,0,75,0,32353095680,8589930496,2698452992,0
199,1786056849593,399.3628234863281,0,2,0.26875000000000004,283.5592346191406,0,2,0.26875000000000004,1833.9063262939453,0,0,0.26875000000000004,1947.8535461425781,0,0,0.26875000000000004,8252.115234375,605,1716,605,4419,605,605,605,605,0,0,26.3157901763916,0,4.761904716491699,0,75,0,32353095680,8589930496,2706710528,0
199,1786056849793,399.96063232421875,300,2,0.25,284.18145751953125,300,2,0.25,1834.8830108642578,300,0,0.25,1948.7941436767578,300,0,0.25,8256.020462036133,605,1716,605,4419,605,605,605,605,24.390243530273438,17.5,17.5,27.5,15.384615898132324,21.428571701049805,77.5,15.384615898132324,32353095680,8589930496,2684284928,0
199,1786056849993,399.9743957519531,16866.666666666664,2,0.2749999999999999,284.1998596191406,16866.666666666664,2,0.2749999999999999,1835.040512084961,16866.666666666664,2,0.2749999999999999,1951.390396118164,16866.666666666664,0,0.2749999999999999,8259.841720581055,605,1716,605,4419,605,605,605,605,0,0,0,100,0,0,0,0,32353095680,8589930496,2840666112,0
199,1786056850193,399.9866180419922,150,2,0.25,284.20933532714844,150,2,0.25,1835.0508117675781,150,2,0.25,1954.0732116699219,150,0,0.25,8263.630752563477,605,1716,605,4419,605,605,605,605,0,0,0,100,0,0,0,0,32353095680,8589930496,2848739328,0
199,1786056850393,400.4100341796875,25200,0,0.725,284.7492218017578,1666.6666666666667,0,0.71875,1835.6844024658203,1666.6666666666667,0,0.71875,1955.5935974121094,1666.6666666666667,0,0.71875,8267.549758911133,605,1716,605,4419,605,605,605,605,0,0,0,100,0,0,0,0,32353095680,8589930496,2775904256,0
199,1786056850593,400.4873809814453,300,2,0.26875000000000004,284.7876434326172,300,2,0.26875000000000004,1838.0377960205078,300,0,0.26875000000000004,1955.784423828125,300,2,0.26875000000000004,8271.197845458984,605,1716,605,4419,605,605,605,605,13.1578950881958,15.384615898132324,67.5,35.897438049316406,17.5,17.948719024658203,21.95121955871582,17.5,32353095680,8589930496,2951958528,0
200,1786056850793,400.49732971191406,250,2,0.2437499999999999,284.7991180419922,250,2,0.2437499999999999,1840.9240264892578,250,0,0.2437499999999999,1955.7987823486328,250,2,0.2437499999999999,8275.235565185547,605,1716,605,4419,605,605,605,605,0,0,100,0,0,0,0,0,32353095680,8589930496,2960031744,0
199,1786056850994,400.7926025390625,22100,0,0.76875,285.0876770019531,22100,0,0.76875,1842.8751373291016,22100,0,0.76875,1956.1295166015625,22100,0,0.76875,8279.019180297852,605,1716,605,4419,605,605,605,605,14.285715103149414,18.18181800842285,77.77777862548828,10.526315689086914,19.047618865966797,5.555555820465088,10.526315689086914,10.526315689086914,32353095680,8589930496,2917048320,0
199,1786056851194,401.0272674560547,300,2,0.25,285.4133758544922,300,2,0.25,1843.272216796875,300,0,0.25,1958.0719757080078,300,0,0.25,8282.745849609375,605,1716,605,4419,605,605,605,605,21.052631378173828,21.052631378173828,28.571430206298828,90,20,23.809524536132813,21.052631378173828,28.571430206298828,32353095680,8589930496,2977513472,0
199,1786056851394,401.03509521484375,100,2,0.25,285.4240264892578,100,2,0.25,1843.2885437011719,100,2,0.25,1960.893081665039,100,0,0.25,8286.670989990234,605,1716,605,4419,605,605,605,605,0,0,0,100,0,0,0,0,32353095680,8589930496,3069124608,0
200,1786056851594,401.2287902832031,9733.333333333332,0,0.44999999999999996,285.57220458984375,8866.666666666668,0,0.4624999999999999,1843.4414978027344,8866.666666666668,0,0.4624999999999999,1963.0792846679688,8866.666666666668,0,0.4624999999999999,8290.280044555664,605,1716,605,4419,605,605,605,605,0,0,0,100,0,0,0,0,32353095680,8589930496,2805215232,0
199,1786056851794,401.6617736816406,250,2,0.2437499999999999,285.9990539550781,250,2,0.2437499999999999,1844.9546203613281,250,0,0.2437499999999999,1963.7192993164063,250,0,0.2437499999999999,8294.109191894531,605,1716,605,4419,605,605,605,605,17.5,17.5,21.95121955871582,65,20,19.51219367980957,37.5,15.384615898132324,32353095680,8589930496,2847518720,0
