Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786057393080,560.4842529296875,300,0,0.75,444.97357177734375,300,2,0.75,2970.7730865478516,300,2,0.75,3174.333297729492,300,0,0.75,12756.479415893555,2005,1716,605,1943,2005,2005,2005,2005,0,3.7037036418914795,3.846153974533081,0,3.846153974533081,0,3.846153974533081,3.7037036418914795,32353095680,8589930496,2470391808,0
200,1786057393080,560.4856414794922,300,0,0.28749999999999987,444.97357177734375,300,0,0.28749999999999987,2970.7730865478516,300,0,0.28749999999999987,3174.333297729492,300,2,0.28749999999999987,12756.479415893555,2005,1716,605,1943,2005,2005,2005,2005,0,3.7037036418914795,3.846153974533081,0,3.846153974533081,0,3.846153974533081,3.7037036418914795,32353095680,8589930496,2470391808,0
199,1786057393280,560.6421051025391,300,2,0.25624999999999987,445.17015075683594,300,2,0.25624999999999987,2972.2068634033203,300,0,0.25624999999999987,3174.5282440185547,300,2,0.25624999999999987,12759.600280761719,2005,1716,605,1943,2005,2005,2005,2005,4.761904716491699,9.523809432983398,76.19047546386719,0,9.523809432983398,9.523809432983398,4.761904716491699,5.263157844543457,32353095680,8589930496,2577854464,0
199,1786057393480,560.6562652587891,16800,2,0.26875000000000004,445.1806640625,16800,2,0.26875000000000004,2974.8340759277344,16800,0,0.26875000000000004,3174.548568725586,16800,2,0.26875000000000004,12763.544555664063,2005,1716,605,1943,2005,2005,2005,2005,0,0,100,4.761904716491699,0,0,0,0,32353095680,8589930496,2685198336,0
199,1786057393680,560.9827880859375,300,2,0.25624999999999987,445.4991760253906,300,2,0.25624999999999987,2975.6390838623047,300,2,0.25624999999999987,3175.7884063720703,300,0,0.25624999999999987,12767.298400878906,2005,1716,605,1943,2005,2005,2005,2005,9.523809432983398,5,26.3157901763916,21.052631378173828,0,5,0,50,32353095680,8589930496,2723053568,0
199,1786057393880,560.9926910400391,100,2,0.25624999999999987,445.50872802734375,100,2,0.25624999999999987,2975.649139404297,100,2,0.25624999999999987,3178.347366333008,100,0,0.25624999999999987,12770.973175048828,2005,1716,605,1943,2005,2005,2005,2005,0,0,0,0,4.761904716491699,0,0,100,32353095680,8589930496,2879733760,0
199,1786057394081,561.2325592041016,300,2,0.25,445.8317108154297,300,2,0.25,2975.9176635742188,300,2,0.25,3180.304000854492,300,0,0.25,12774.826644897461,2005,1716,605,1943,2005,2005,2005,2005,0,9.523809432983398,14.285715103149414,9.523809432983398,10,14.285715103149414,13.636363983154297,75,32353095680,8589930496,2894553088,0
199,1786057394281,561.2442474365234,100,2,0.25624999999999987,445.85321044921875,100,2,0.25624999999999987,2975.9541778564453,100,0,0.25624999999999987,3182.6820373535156,100,0,0.25624999999999987,12778.401550292969,2005,1716,605,1943,2005,2005,2005,2005,5,0,0,0,0,0,0,100,32353095680,8589930496,2886553600,0
199,1786057394481,561.4226837158203,300,0,0.26875000000000004,446.09576416015625,300,0,0.26875000000000004,2976.234878540039,300,0,0.26875000000000004,3184.838134765625,300,0,0.26875000000000004,12782.296310424805,2005,1716,605,1943,2005,2005,2005,2005,5,0,0,0,0,0,0,100,32353095680,8589930496,2858618880,0
199,1786057394681,561.4749755859375,300,2,0.2437499999999999,446.12965393066406,300,2,0.2437499999999999,2977.098175048828,300,0,0.2437499999999999,3186.114456176758,300,0,0.2437499999999999,12785.770477294922,2005,1716,605,1943,2005,2005,2005,2005,2.5,0,23.076923370361328,40,5,2.6315789222717285,0,38.46154022216797,32353095680,8589930496,2965712896,0
