Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786221809467,817.3636932373047,300,2,0.7,694.7981414794922,300,2,0.7,1300.1592559814453,300,0,0.7,1332.4685668945313,300,0,0.7,9001.074035644531,605,5150,1716,5150,605,605,605,605,0,3.846153974533081,3.846153974533081,3.846153974533081,3.7037036418914795,0,3.846153974533081,3.7037036418914795,32353087488,8589930496,2534981632,0
200,1786221809467,817.3636932373047,300,2,0.7,694.7981414794922,300,2,0.7,1300.1592559814453,300,0,0.7,1332.4685668945313,300,0,0.7,9001.074035644531,605,5150,1716,5150,605,605,605,605,0,3.846153974533081,3.846153974533081,3.846153974533081,3.7037036418914795,0,3.846153974533081,3.7037036418914795,32353087488,8589930496,2534981632,0
200,1786221809667,817.7344207763672,300,0,0.2749999999999999,695.1445159912109,300,0,0.2749999999999999,1300.6660461425781,300,0,0.2749999999999999,1333.4683532714844,300,0,0.2749999999999999,9004.079849243164,605,5150,1716,5150,605,605,605,605,13.636363983154297,14.285715103149414,20,14.285715103149414,15.000000953674316,14.285715103149414,15.000000953674316,52.6315803527832,32353087488,8589930496,2545430528,0
199,1786221809868,817.9889068603516,300,0,0.25624999999999987,695.3593444824219,300,0,0.25624999999999987,1301.4302215576172,300,0,0.25624999999999987,1334.2406158447266,300,0,0.25624999999999987,9006.807556152344,605,5150,1716,5150,605,605,605,605,0,5.263157844543457,42.105262756347656,10,5.263157844543457,5.263157844543457,5.263157844543457,40,32353087488,8589930496,2544144384,0
199,1786221810068,818.3115081787109,25200,0,0.51875,695.6992950439453,25200,0,0.51875,1302.5118713378906,25200,0,0.51875,1334.6416015625,25200,0,0.51875,9009.746368408203,605,5150,1716,5150,605,605,605,605,0,5.263157844543457,42.105262756347656,10,5.263157844543457,5.263157844543457,5.263157844543457,40,32353087488,8589930496,2551222272,0
199,1786221810268,818.5252227783203,300,0,0.25624999999999987,695.8939971923828,300,0,0.25624999999999987,1302.9650573730469,300,2,0.25624999999999987,1335.686996459961,300,0,0.25624999999999987,9012.390167236328,605,5150,1716,5150,605,605,605,605,7.692307949066162,7.500000476837158,22.5,38.46154022216797,9.756096839904785,9.756096839904785,26.829269409179688,10,32353087488,8589930496,2553827328,0
199,1786221810468,818.8057708740234,300,0,0.2749999999999999,696.1772155761719,300,0,0.2749999999999999,1303.8925170898438,300,0,0.2749999999999999,1336.1390380859375,300,0,0.2749999999999999,9015.142303466797,605,5150,1716,5150,605,605,605,605,7.692307949066162,7.500000476837158,22.5,38.46154022216797,9.756096839904785,9.756096839904785,26.829269409179688,10,32353087488,8589930496,2556391424,0
199,1786221810668,819.1555023193359,300,0,0.25624999999999987,696.5453033447266,300,0,0.25624999999999987,1304.6264343261719,300,0,0.25624999999999987,1337.0323486328125,300,0,0.25624999999999987,9018.234680175781,605,5150,1716,5150,605,605,605,605,12.195121765136719,10,14.634145736694336,32.5,10,10,41.02564239501953,10,32353087488,8589930496,2570698752,0
200,1786221810868,819.4134674072266,300,0,0.26875000000000004,696.8524780273438,300,0,0.26875000000000004,1305.2362060546875,300,0,0.26875000000000004,1337.9340057373047,300,0,0.26875000000000004,9021.095565795898,605,5150,1716,5150,605,605,605,605,12.195121765136719,10,14.634145736694336,32.5,10,10,41.02564239501953,10,32353087488,8589930496,2573119488,0
199,1786221811068,819.6958312988281,300,2,0.25624999999999987,697.1958465576172,300,2,0.25624999999999987,1306.1204681396484,300,2,0.25624999999999987,1338.428939819336,300,0,0.25624999999999987,9023.84587097168,605,5150,1716,5150,605,605,605,605,7.500000476837158,12.5,31.57894515991211,17.948719024658203,10,12.5,17.5,28.205129623413086,32353087488,8589930496,2573258752,0
