Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786221622682,724.8706359863281,300,0,0.725,599.4972991943359,300,2,0.725,1079.895248413086,300,0,0.725,1099.082275390625,300,2,0.725,7769.006271362305,1949,605,4051,605,1949,1949,1949,1949,3.846153974533081,0,0,3.846153974533081,0,3.846153974533081,4,7.407407283782959,32353087488,8589930496,2514739200,0
200,1786221622682,724.8706359863281,300,0,0.725,599.4972991943359,300,2,0.725,1079.895248413086,300,0,0.725,1099.082275390625,300,2,0.725,7769.006271362305,1949,605,4051,605,1949,1949,1949,1949,3.846153974533081,0,0,3.846153974533081,0,3.846153974533081,4,7.407407283782959,32353087488,8589930496,2514739200,0
199,1786221622883,725.2413635253906,300,0,0.2749999999999999,599.8180236816406,300,0,0.2749999999999999,1080.2773895263672,300,0,0.2749999999999999,1100.0046691894531,300,0,0.2749999999999999,7771.844223022461,1949,605,4051,605,1949,1949,1949,1949,5.263157844543457,10,15.000000953674316,10.526315689086914,10,5.263157844543457,10,57.894737243652344,32353087488,8589930496,2517127168,0
199,1786221623083,725.4949035644531,300,0,0.2749999999999999,600.0762481689453,300,0,0.2749999999999999,1081.0105590820313,300,0,0.2749999999999999,1100.5850677490234,300,0,0.2749999999999999,7774.427108764648,1949,605,4051,605,1949,1949,1949,1949,5.263157844543457,10,15.000000953674316,10.526315689086914,10,5.263157844543457,10,57.894737243652344,32353087488,8589930496,2525093888,0
199,1786221623283,725.7633666992188,300,0,0.2749999999999999,600.4102630615234,300,0,0.2749999999999999,1081.9230499267578,300,0,0.2749999999999999,1100.9783935546875,300,0,0.2749999999999999,7777.2197265625,1949,605,4051,605,1949,1949,1949,1949,7.500000476837158,7.500000476837158,30.000001907348633,22.5,4.878048419952393,7.500000476837158,28.205129623413086,7.500000476837158,32353087488,8589930496,2526736384,0
199,1786221623483,725.9454040527344,300,0,0.26875000000000004,600.6097106933594,300,0,0.26875000000000004,1082.9701538085938,300,0,0.26875000000000004,1101.24462890625,300,0,0.26875000000000004,7779.663513183594,1949,605,4051,605,1949,1949,1949,1949,5,4.761904716491699,31.57894515991211,9.523809432983398,5,0,42.105262756347656,9.523809432983398,32353087488,8589930496,2522251264,0
199,1786221623683,726.2629089355469,300,0,0.2749999999999999,600.9669342041016,300,0,0.2749999999999999,1083.7781372070313,300,0,0.2749999999999999,1101.5914154052734,300,0,0.2749999999999999,7782.324005126953,1949,605,4051,605,1949,1949,1949,1949,5.263157844543457,0,10.526315689086914,5.263157844543457,0,10,45,5.263157844543457,32353087488,8589930496,2540318720,0
199,1786221623883,726.4928131103516,300,2,0.2749999999999999,601.1811828613281,300,2,0.2749999999999999,1084.4154052734375,300,0,0.2749999999999999,1102.345947265625,300,2,0.2749999999999999,7784.970123291016,1949,605,4051,605,1949,1949,1949,1949,5,0,0,15.000000953674316,9.523809432983398,4.761904716491699,40,36.842105865478516,32353087488,8589930496,2537902080,0
200,1786221624083,726.7768096923828,300,0,0.2749999999999999,601.4951629638672,300,0,0.2749999999999999,1084.925521850586,300,0,0.2749999999999999,1103.1375885009766,300,0,0.2749999999999999,7787.680816650391,1949,605,4051,605,1949,1949,1949,1949,5,0,0,15.000000953674316,9.523809432983398,4.761904716491699,40,36.842105865478516,32353087488,8589930496,2539278336,0
199,1786221624283,727.0018005371094,300,2,0.2749999999999999,601.7425231933594,300,2,0.2749999999999999,1085.1920013427734,300,2,0.2749999999999999,1104.0372161865234,300,0,0.2749999999999999,7790.145431518555,1949,605,4051,605,1949,1949,1949,1949,7.500000476837158,7.500000476837158,5.128205299377441,14.634145736694336,5,5.128205299377441,17.073171615600586,46.153846740722656,32353087488,8589930496,2543427584,0
