Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786143306151,1631.265869140625,300,2,1.4,1557.2987365722656,300,0,0.725,3996.9156951904297,300,2,0.725,3581.6610260009766,300,0,0.725,26757.80796813965,4847,4845,4847,4851,4847,4847,4847,4847,0,3.5714287757873535,7.142857551574707,7.407407283782959,7.407407283782959,3.7037036418914795,3.5714287757873535,3.7037036418914795,32353091584,8589930496,2596843520,0
200,1786143306151,1631.265869140625,300,2,0.725,1557.2987365722656,300,0,0.725,3996.9156951904297,300,2,0.725,3581.6610260009766,300,0,0.725,26757.80796813965,4847,4845,4847,4851,4847,4847,4847,4847,0,3.5714287757873535,7.142857551574707,7.407407283782959,7.407407283782959,3.7037036418914795,3.5714287757873535,3.7037036418914795,32353091584,8589930496,2596843520,0
200,1786143306351,1631.2684631347656,28800,0,1.475,1557.3024291992188,28800,0,1.475,3996.922119140625,28800,0,1.475,3581.6712799072266,28800,0,1.475,26758.385848999023,4847,4845,4847,4851,4847,4847,4847,4847,0,0,0,0,0,0,0,0,32353091584,8589930496,2597851136,0
200,1786143306551,1631.2708129882813,28800,0,1.39375,1557.3047790527344,300,0,1.39375,3996.9246978759766,300,0,1.39375,3581.675079345703,300,0,1.36875,26759.01902770996,4847,4845,4847,4851,4847,4847,4847,4847,0,0,0,0,0,0,0,0,32353091584,8589930496,2597851136,0
200,1786143306752,1631.271499633789,28800,0,1.46875,1557.3057098388672,28800,0,1.46875,3996.9322509765625,28800,0,1.46875,3581.678695678711,28800,0,1.46875,26759.56852722168,4847,4845,4847,4851,4847,4847,4847,4847,0,0,4.761904716491699,0,0,0,4.761904716491699,0,32353091584,8589930496,2597851136,0
200,1786143306952,1631.2715606689453,28800,0,1.2625,1557.3057861328125,300,0,1.2625,3996.932342529297,300,0,1.2625,3581.679656982422,300,0,1.2875,26760.054260253906,4847,4845,4847,4851,4847,4847,4847,4847,0,0,0,0,0,0,0,0,32353091584,8589930496,2597851136,0
200,1786143307153,1631.2723846435547,28800,0,1.48125,1557.3066864013672,28800,0,1.48125,3996.9364624023438,300,0,1.48125,3581.6842041015625,300,0,1.31875,26760.615768432617,4847,4845,4847,4851,4847,4847,4847,4847,0,0,0,0,0,4.761904716491699,0,0,32353091584,8589930496,2597851136,0
200,1786143307353,1631.2729949951172,300,2,1.41875,1557.3123779296875,300,0,1.41875,3996.938262939453,300,2,1.41875,3581.6858978271484,300,2,1.41875,26761.13787841797,4847,4845,4847,4851,4847,4847,4847,4847,0,0,0,0,0,0,0,0,32353091584,8589930496,2597851136,0
200,1786143307554,1631.2732238769531,28800,0,1.4312500000000001,1557.3126678466797,28800,0,1.4312500000000001,3996.940673828125,28800,0,1.4312500000000001,3581.6861419677734,28800,0,1.4312500000000001,26761.638626098633,4847,4845,4847,4851,4847,4847,4847,4847,0,0,0,0,0,0,0,0,32353091584,8589930496,2597851136,0
200,1786143307754,1631.2738647460938,28800,0,1.48125,1557.3138885498047,300,0,1.48125,3996.9479217529297,300,0,1.41875,3581.686965942383,300,0,1.41875,26762.223831176758,4847,4845,4847,4851,4847,4847,4847,4847,0,0,0,0,0,0,0,0,32353091584,8589930496,2597851136,0
