Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786143445654,1641.184066772461,300,0,0.71875,1567.2547454833984,300,2,0.71875,4169.328536987305,300,2,0.71875,3725.693161010742,300,0,0.71875,27482.3427734375,2265,5154,2746,4054,2265,2265,2265,2265,7.407407283782959,0,3.7037036418914795,3.5714287757873535,0,0,3.7037036418914795,3.7037036418914795,32353091584,8589930496,2584838144,0
200,1786143445654,1641.184066772461,300,0,0.71875,1567.2547454833984,300,2,0.71875,4169.328536987305,300,2,0.71875,3725.693161010742,300,0,0.71875,27482.3427734375,2265,5154,2746,4054,2265,2265,2265,2265,7.407407283782959,0,3.7037036418914795,3.5714287757873535,0,0,3.7037036418914795,3.7037036418914795,32353091584,8589930496,2584838144,0
199,1786143445855,1641.3528900146484,300,0,0.25624999999999987,1567.3989868164063,300,0,0.25624999999999987,4170.553573608398,300,0,0.25624999999999987,3725.834991455078,300,2,0.25624999999999987,27484.807189941406,2265,5154,2746,4054,2265,2265,2265,2265,5,0,80,0,5,5,0,4.761904716491699,32353091584,8589930496,2593722368,0
199,1786143446055,1641.3635864257813,300,2,0.25624999999999987,1567.4124145507813,300,0,0.25624999999999987,4172.055114746094,300,0,0.25624999999999987,3725.852981567383,300,0,0.25624999999999987,27487.088653564453,2265,5154,2746,4054,2265,2265,2265,2265,0,0,100,4.761904716491699,0,0,0,0,32353091584,8589930496,2593722368,0
199,1786143446255,1641.373275756836,300,2,0.25624999999999987,1567.4231872558594,300,2,0.25624999999999987,4173.554794311523,300,0,0.25624999999999987,3725.8633880615234,300,0,0.25624999999999987,27489.347549438477,2265,5154,2746,4054,2265,2265,2265,2265,0,0,100,0,0,0,0,0,32353091584,8589930496,2593722368,0
199,1786143446455,1641.3828887939453,300,2,0.25624999999999987,1567.4343719482422,300,2,0.25624999999999987,4175.055892944336,300,0,0.25624999999999987,3725.8736267089844,300,2,0.25624999999999987,27491.607299804688,2265,5154,2746,4054,2265,2265,2265,2265,0,0,100,0,0,0,0,0,32353091584,8589930496,2593722368,0
199,1786143446655,1641.3928527832031,300,2,0.25624999999999987,1567.4468383789063,300,2,0.25624999999999987,4176.561340332031,300,0,0.25624999999999987,3725.8868103027344,300,2,0.25624999999999987,27493.883178710938,2265,5154,2746,4054,2265,2265,2265,2265,0,0,100,0,0,0,0,0,32353091584,8589930496,2593722368,0
199,1786143446855,1641.4022674560547,300,2,0.25624999999999987,1567.4562072753906,300,2,0.25624999999999987,4178.068084716797,300,0,0.25624999999999987,3725.9000091552734,300,2,0.25624999999999987,27496.143463134766,2265,5154,2746,4054,2265,2265,2265,2265,0,0,100,0,0,0,0,0,32353091584,8589930496,2593722368,0
199,1786143447055,1641.5704193115234,300,2,0.25,1567.6464538574219,300,2,0.25,4178.865631103516,300,2,0.25,3726.547348022461,300,0,0.25,27498.744583129883,2265,5154,2746,4054,2265,2265,2265,2265,4.761904716491699,9.523809432983398,45,33.333335876464844,4.761904716491699,0,5,9.523809432983398,32353091584,8589930496,2604474368,0
199,1786143447255,1641.6151275634766,300,2,0.25,1567.660140991211,300,2,0.25,4178.917755126953,300,2,0.25,3728.0885162353516,300,0,0.25,27501.12176513672,2265,5154,2746,4054,2265,2265,2265,2265,4.761904716491699,0,0,100,0,0,4.761904716491699,0,32353091584,8589930496,2604146688,0
