Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786320224191,882.4209747314453,300,2,0.7375,779.1411895751953,300,2,0.7375,4629.277404785156,300,0,0.7375,4440.5289306640625,300,0,0.7375,20896.317459106445,605,5147,4556,4744,605,605,605,605,3.7037036418914795,0,7.142857551574707,0,0,3.5714287757873535,0,3.5714287757873535,32353087488,8589930496,2730758144,0
200,1786320224191,882.4209747314453,300,2,0.7375,779.1416625976563,300,2,0.7375,4629.280258178711,300,0,0.7375,4440.529006958008,300,0,0.7375,20896.321975708008,605,5147,4556,4744,605,605,605,605,3.7037036418914795,0,7.142857551574707,0,0,3.5714287757873535,0,3.5714287757873535,32353087488,8589930496,2730758144,0
199,1786320224392,882.6587524414063,16000,2,0.30000000000000004,779.3176574707031,16000,2,0.30000000000000004,4629.451126098633,16000,2,0.30000000000000004,4442.738433837891,16000,0,0.30000000000000004,20900.136642456055,605,5147,4556,4744,605,605,605,605,5,4.761904716491699,5.263157844543457,76.19047546386719,10,5,5,0,32353087488,8589930496,2847813632,0
199,1786320224592,882.7581787109375,15600,2,0.3062499999999999,779.3245544433594,15600,2,0.3062499999999999,4629.477111816406,15600,2,0.3062499999999999,4445.667495727539,15600,0,0.3062499999999999,20904.338577270508,605,5147,4556,4744,605,605,605,605,0,0,0,95,5,0,0,4.761904716491699,32353087488,8589930496,2847858688,0
199,1786320224792,882.7653350830078,15333.333333333334,2,0.31874999999999987,779.3309783935547,15333.333333333334,2,0.31874999999999987,4629.486831665039,15333.333333333334,2,0.31874999999999987,4448.7362060546875,15333.333333333334,0,0.31874999999999987,20908.539993286133,605,5147,4556,4744,605,605,605,605,0,0,4.761904716491699,100,0,0,0,0,32353087488,8589930496,2847858688,0
199,1786320224992,882.7720489501953,15533.333333333334,2,0.29374999999999996,779.3378143310547,15533.333333333334,2,0.29374999999999996,4629.494705200195,15533.333333333334,2,0.29374999999999996,4451.824371337891,15533.333333333334,0,0.29374999999999996,20912.738571166992,605,5147,4556,4744,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2847858688,0
199,1786320225192,882.7787170410156,15466.666666666666,2,0.3125,779.3451080322266,15466.666666666666,2,0.3125,4629.503890991211,15466.666666666666,2,0.3125,4454.900924682617,15466.666666666666,0,0.3125,20916.960174560547,605,5147,4556,4744,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2847858688,0
199,1786320225392,882.7885284423828,15400,2,0.31874999999999987,779.4409942626953,15400,2,0.31874999999999987,4631.705993652344,15400,0,0.31874999999999987,4455.507125854492,15400,2,0.31874999999999987,20921.161163330078,605,5147,4556,4744,605,605,605,605,0,0,78.94737243652344,21.052631378173828,0,5,0,0,32353087488,8589930496,2847858688,0
199,1786320225592,882.7976989746094,15733.333333333334,2,0.3125,779.4479370117188,15733.333333333334,2,0.3125,4634.594512939453,15733.333333333334,0,0.3125,4455.516189575195,15733.333333333334,2,0.3125,20925.359100341797,605,5147,4556,4744,605,605,605,605,0,0,100,0,0,0,0,0,32353087488,8589930496,2847858688,0
199,1786320225792,882.8053588867188,16466.666666666664,2,0.28125,779.4553070068359,16466.666666666664,2,0.28125,4637.469375610352,16466.666666666664,0,0.28125,4455.527191162109,16466.666666666664,2,0.28125,20929.555725097656,605,5147,4556,4744,605,605,605,605,0,0,100,0,0,0,0,0,32353087488,8589930496,2847858688,0
