Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786320936544,999.4993133544922,300,2,1.31875,892.9679260253906,300,2,1.31875,5228.032470703125,300,2,1.31875,5052.414688110352,300,0,1.31875,24777.031021118164,4611,4587,4586,4615,4611,4611,4611,4611,0,3.7037036418914795,7.692307949066162,7.142857551574707,3.7037036418914795,3.7037036418914795,17.85714340209961,7.407407283782959,32353087488,8589930496,2757713920,0
200,1786320936544,999.4993133544922,300,2,0.70625,892.9679260253906,300,0,0.70625,5228.032470703125,300,2,0.70625,5052.414688110352,300,0,0.70625,24777.031021118164,4611,4587,4586,4615,4611,4611,4611,4611,0,3.7037036418914795,7.692307949066162,7.142857551574707,3.7037036418914795,3.7037036418914795,17.85714340209961,7.407407283782959,32353087488,8589930496,2757713920,0
200,1786320936745,999.5015258789063,28800,0,1.48125,892.9747772216797,28800,0,1.48125,5228.033462524414,28800,0,1.48125,5052.420516967773,28800,0,1.48125,24777.566497802734,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2757713920,0
200,1786320936945,999.5023040771484,300,0,1.41875,892.9759521484375,300,2,1.41875,5228.037811279297,300,2,1.41875,5052.423843383789,300,0,1.41875,24778.144958496094,4611,4587,4586,4615,4611,4611,4611,4611,0,4.761904716491699,0,0,0,0,0,0,32353087488,8589930496,2757713920,0
200,1786320937146,999.5025024414063,28800,0,1.4125,892.9761047363281,28800,0,1.4125,5228.0379638671875,300,0,1.4125,5052.424819946289,300,0,1.29375,24778.628540039063,4611,4587,4586,4615,4611,4611,4611,4611,0,0,4.761904716491699,0,0,0,0,0,32353087488,8589930496,2758361088,0
200,1786320937346,999.5047607421875,28800,0,1.3875,892.9780883789063,300,0,1.35625,5228.051971435547,300,0,1.35625,5052.426162719727,300,0,1.35625,24779.23373413086,4611,4587,4586,4615,4611,4611,4611,4611,4.761904716491699,0,0,0,4.761904716491699,0,0,0,32353087488,8589930496,2758590464,0
200,1786320937547,999.5055236816406,28800,0,1.4312500000000001,892.9797058105469,28800,0,1.4312500000000001,5228.05485534668,28800,0,1.4312500000000001,5052.429061889648,28800,0,1.4312500000000001,24779.814697265625,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320937747,999.5056762695313,28800,0,1.48125,892.9798431396484,300,0,1.48125,5228.054992675781,300,0,1.425,5052.4312744140625,300,0,1.425,24780.29571533203,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320937947,999.5059356689453,28800,0,0.975,892.9806823730469,28800,0,0.975,5228.055282592773,28800,0,0.975,5052.43440246582,28800,0,0.975,24780.855087280273,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
199,1786320938148,999.506591796875,28800,0,1.48125,892.9814453125,28800,0,1.48125,5228.058883666992,28800,0,1.48125,5052.437774658203,28800,0,1.48125,24781.401763916016,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320938348,999.5070953369141,28800,0,1.325,892.9818267822266,300,0,1.325,5228.059539794922,300,0,0.96875,5052.441162109375,300,0,0.96875,24781.931060791016,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320938548,999.5073089599609,28800,0,1.125,892.9820098876953,28800,0,1.125,5228.059722900391,28800,0,1.125,5052.443771362305,28800,0,1.125,24782.42303466797,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320938749,999.5080871582031,28800,0,1.46875,892.9827117919922,28800,0,1.46875,5228.06315612793,28800,0,1.46875,5052.446243286133,28800,0,1.46875,24782.948852539063,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,4.761904716491699,4.761904716491699,32353087488,8589930496,2758590464,0
200,1786320938949,999.5083160400391,28800,0,0.975,892.9832000732422,300,0,0.975,5228.063400268555,300,2,0.975,5052.448532104492,300,0,0.975,24783.482818603516,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320939149,999.5084686279297,28800,0,1.475,892.9833679199219,28800,0,1.475,5228.063568115234,28800,0,1.475,5052.45166015625,28800,0,1.475,24783.964569091797,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320939350,999.5101623535156,28800,0,1.03125,892.9850311279297,28800,0,1.03125,5228.0682373046875,28800,0,1.03125,5052.45573425293,28800,0,1.03125,24784.548248291016,4611,4587,4586,4615,4611,4611,4611,4611,0,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,32353087488,8589930496,2758590464,0
200,1786320939550,999.5103454589844,28800,0,1.325,892.9852142333984,300,0,1.325,5228.068450927734,300,0,1.31875,5052.458236694336,300,0,1.31875,24785.07000732422,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320939751,999.5104064941406,28800,0,1.48125,892.9852752685547,28800,0,1.48125,5228.06852722168,28800,0,1.48125,5052.45964050293,28800,0,1.48125,24785.538635253906,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,4.761904716491699,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320939951,999.5112762451172,28800,0,0.975,892.9862213134766,300,0,0.975,5228.070175170898,300,0,0.975,5052.464218139648,300,0,0.975,24786.134384155273,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320940151,999.5114440917969,28800,0,1.25,892.9864196777344,28800,0,1.25,5228.070358276367,28800,0,1.25,5052.4674072265625,28800,0,1.25,24786.634536743164,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320940352,999.5115814208984,28800,0,1.26875,892.9864807128906,28800,0,1.26875,5228.07048034668,28800,0,1.26875,5052.468124389648,28800,0,1.26875,24787.138595581055,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320940552,999.5122833251953,28800,0,1.475,892.9875183105469,300,0,1.475,5228.072021484375,300,2,1.425,5052.4725341796875,300,0,1.425,24787.721115112305,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
200,1786320940753,999.5124359130859,28800,0,1.48125,892.9876708984375,28800,0,1.48125,5228.072189331055,28800,0,1.48125,5052.475570678711,28800,0,1.48125,24788.20361328125,4611,4587,4586,4615,4611,4611,4611,4611,0,0,0,0,0,0,0,0,32353087488,8589930496,2758590464,0
