Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786321433306,1009.8563385009766,300,2,0.74375,905.3587951660156,300,0,0.74375,7656.307022094727,300,0,0.74375,5820.174255371094,300,2,0.74375,30145.145111083984,605,1715,3552,5157,605,605,605,605,0,4,11.111111640930176,0,0,3.846153974533081,3.846153974533081,3.846153974533081,32353087488,8589930496,2740969472,0
200,1786321433306,1009.8566741943359,300,2,0.29374999999999996,905.3590240478516,300,2,0.29374999999999996,7656.310012817383,300,0,0.29374999999999996,5820.174255371094,300,0,0.29374999999999996,30145.145111083984,605,1715,3552,5157,605,605,605,605,0,4,11.111111640930176,0,0,3.846153974533081,3.846153974533081,3.846153974533081,32353087488,8589930496,2740969472,0
199,1786321433507,1010.0674133300781,16066.666666666666,2,0.3062499999999999,905.5045776367188,16066.666666666666,2,0.3062499999999999,7656.465057373047,16066.666666666666,2,0.3062499999999999,5822.06950378418,16066.666666666666,0,0.3062499999999999,30148.753189086914,605,1715,3552,5157,605,605,605,605,5,5,0,76.19047546386719,5,5,5,5,32353087488,8589930496,2983231488,0
199,1786321433707,1010.0745849609375,15533.333333333334,2,0.3125,905.5130767822266,15533.333333333334,2,0.3125,7656.47688293457,15533.333333333334,2,0.3125,5824.837478637695,15533.333333333334,0,0.3125,30152.95442199707,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983231488,0
199,1786321433907,1010.0816802978516,15533.333333333334,2,0.3062499999999999,905.5207672119141,15533.333333333334,2,0.3062499999999999,7656.487396240234,15533.333333333334,2,0.3062499999999999,5827.604766845703,15533.333333333334,0,0.3062499999999999,30157.154022216797,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983231488,0
199,1786321434107,1010.0881195068359,15533.333333333334,2,0.3125,905.5280303955078,15533.333333333334,2,0.3125,7656.496765136719,15533.333333333334,2,0.3125,5830.378387451172,15533.333333333334,0,0.3125,30161.354049682617,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321434307,1010.0964965820313,15600,2,0.3062499999999999,905.5364074707031,15600,2,0.3062499999999999,7656.506317138672,15600,2,0.3062499999999999,5833.131042480469,15600,0,0.3062499999999999,30165.55355834961,605,1715,3552,5157,605,605,605,605,0,0,5,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321434507,1010.1031341552734,15600,2,0.3062499999999999,905.5462493896484,15600,2,0.3062499999999999,7656.516677856445,15600,2,0.3062499999999999,5835.9000244140625,15600,0,0.3062499999999999,30169.75373840332,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321434707,1010.1095275878906,15600,2,0.3125,905.5532836914063,15600,2,0.3125,7656.526641845703,15600,2,0.3125,5838.666610717773,15600,0,0.3125,30173.95379638672,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321434907,1010.1166687011719,15400,0,0.3062499999999999,905.5613403320313,15400,2,0.3062499999999999,7656.53483581543,15400,0,0.3062499999999999,5841.417495727539,15400,0,0.3062499999999999,30178.133422851563,605,1715,3552,5157,605,605,605,605,0,0,0,100,4.761904716491699,0,0,0,32353087488,8589930496,2983395328,0
199,1786321435107,1010.1232757568359,15666.666666666666,0,0.3125,905.5685272216797,15666.666666666666,2,0.3125,7656.541549682617,15666.666666666666,0,0.3125,5844.182601928711,15666.666666666666,0,0.3125,30182.33218383789,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321435307,1010.130126953125,15533.333333333334,2,0.3062499999999999,905.5757751464844,15533.333333333334,2,0.3062499999999999,7656.55046081543,15533.333333333334,2,0.3062499999999999,5846.955871582031,15533.333333333334,0,0.3062499999999999,30186.532653808594,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321435507,1010.1396179199219,15466.666666666666,2,0.3125,905.5843811035156,15466.666666666666,2,0.3125,7656.55859375,15466.666666666666,2,0.3125,5849.716995239258,15466.666666666666,0,0.3125,30190.733337402344,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321435708,1010.1464538574219,15466.666666666666,2,0.3125,905.5916900634766,15466.666666666666,2,0.3125,7656.566452026367,15466.666666666666,2,0.3125,5852.483016967773,15466.666666666666,0,0.3125,30194.93295288086,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321435908,1010.1529693603516,15533.333333333334,2,0.3125,905.5987396240234,15533.333333333334,2,0.3125,7656.574203491211,15533.333333333334,2,0.3125,5855.250411987305,15533.333333333334,0,0.3125,30199.1329498291,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321436108,1010.1604766845703,15400,2,0.3125,905.6066589355469,15400,2,0.3125,7656.583389282227,15400,2,0.3125,5858.007476806641,15400,0,0.3125,30203.333465576172,605,1715,3552,5157,605,605,605,605,4.761904716491699,0,4.761904716491699,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321436308,1010.1676177978516,15600,2,0.3125,905.6141204833984,15600,2,0.3125,7656.591781616211,15600,2,0.3125,5860.770614624023,15600,0,0.3125,30207.55352783203,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321436508,1010.1744537353516,15600,2,0.3062499999999999,905.6214752197266,15600,2,0.3062499999999999,7656.601547241211,15600,2,0.3062499999999999,5863.550689697266,15600,0,0.3062499999999999,30211.753448486328,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321436708,1010.1822509765625,15533.333333333334,2,0.3125,905.6296234130859,15533.333333333334,2,0.3125,7656.609939575195,15533.333333333334,2,0.3125,5866.309707641602,15533.333333333334,0,0.3125,30215.953704833984,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321436908,1010.1887817382813,15466.666666666666,2,0.3125,905.6367950439453,15466.666666666666,2,0.3125,7656.620666503906,15466.666666666666,2,0.3125,5869.082580566406,15466.666666666666,0,0.3125,30220.15069580078,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,4.761904716491699,0,0,32353087488,8589930496,2983395328,0
199,1786321437108,1010.1952972412109,15533.333333333334,2,0.3062499999999999,905.6449432373047,15533.333333333334,2,0.3062499999999999,7656.627517700195,15533.333333333334,2,0.3062499999999999,5871.8458251953125,15533.333333333334,0,0.3062499999999999,30224.350341796875,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321437308,1010.2105712890625,15400,2,0.3125,905.6573486328125,15333.333333333334,2,0.3125,7656.64225769043,15333.333333333334,0,0.3125,5874.583190917969,15333.333333333334,0,0.3125,30228.55108642578,605,1715,3552,5157,605,605,605,605,4.761904716491699,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321437508,1010.2172546386719,15600,2,0.3062499999999999,905.6648712158203,15600,2,0.3062499999999999,7656.652404785156,15600,0,0.3062499999999999,5877.34880065918,15600,0,0.3062499999999999,30232.74981689453,605,1715,3552,5157,605,605,605,605,0,0,0,100,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321437708,1010.2472839355469,15933.333333333334,2,0.3062499999999999,905.6732177734375,15933.333333333334,2,0.3062499999999999,7658.558166503906,15933.333333333334,0,0.3062499999999999,5878.1810302734375,15933.333333333334,0,0.3062499999999999,30236.94955444336,605,1715,3552,5157,605,605,605,605,0,0,70,30.000001907348633,0,4.761904716491699,0,0,32353087488,8589930496,2983395328,0
199,1786321437908,1010.2547912597656,15600,2,0.3062499999999999,905.6811981201172,15600,2,0.3062499999999999,7661.312759399414,15600,0,0.3062499999999999,5878.194305419922,15600,2,0.3062499999999999,30241.150390625,605,1715,3552,5157,605,605,605,605,0,0,100,0,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321438109,1010.2613525390625,15400,2,0.3125,905.6886291503906,15400,2,0.3125,7664.069259643555,15400,0,0.3125,5878.201446533203,15400,2,0.3125,30245.350952148438,605,1715,3552,5157,605,605,605,605,0,0,100,0,0,0,0,0,32353087488,8589930496,2983395328,0
199,1786321438309,1010.2684173583984,15533.333333333334,2,0.3125,905.6971130371094,15533.333333333334,2,0.3125,7666.812911987305,15533.333333333334,0,0.3125,5878.211090087891,15533.333333333334,2,0.3125,30249.550354003906,605,1715,3552,5157,605,605,605,605,0,0,100,0,4.761904716491699,0,0,0,32353087488,8589930496,2983395328,0
